Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -10            0     -0.77588     0.084298      0.04686     0.037438   -0.0015811       1.9817     0.022171       1.9595    0.0015868    -0.002279   1.4375e-05   -0.0022934      -9.2041      -8.1073            0       -17489       1900.1      -2205.9      -35.638       -17370      -1746.7      -71.343       -16779       788.92            0            0       39.766      -7.7709           40      -6.2007       176.91        58999      -382.84      -2.0247   3.8792e-06     -0.62339      -2963.3  -4.3453e+05        76005       2.5915       1.5709            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -9            0     -0.70628     0.077623     0.046028     0.031594   -0.0017637       1.8911     0.020099        1.871    0.0015077   -0.0023288   1.8549e-05   -0.0023474      -9.0989      -7.6468            0       -15920       1749.7      -1787.1      -39.755       -15835      -1383.2       -72.05       -15293       788.92            0            0       39.761      -8.2389           40      -6.2718       170.44        56303      -385.28      -2.1307   3.9401e-06     -0.66238        -2547   -4.607e+05        69987       2.5446       1.5049            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -8            0     -0.63614     0.071934     0.045695     0.026238   -0.0019429       1.7978     0.019067       1.7787    0.0014298   -0.0023814   2.0824e-05   -0.0024022      -8.8434      -7.0533            0       -14339       1621.4      -1409.9      -43.794       -14282        -1058      -72.789       -13790       788.92            0            0       39.747      -8.9321           40      -6.4515       164.32        53524       -388.5      -2.2597   4.0024e-06     -0.70944      -2126.7  -4.9946e+05        64857       2.4856       1.4375            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -7            0     -0.56549     0.066341     0.044953     0.021388   -0.0021185       1.7001     0.017306       1.6828    0.0013532   -0.0024365   2.1372e-05   -0.0024579       -8.524        -6.41            0       -12747       1495.4      -1074.9      -47.752       -12710      -771.22      -73.559       -12271       788.92            0            0       39.728      -9.8286           40      -6.6911       158.55        50615      -392.46      -2.4208    4.072e-06     -0.76774      -1703.1  -5.4959e+05        59815       2.4097       1.3689            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -6            0      -0.4944     0.061001     0.043941      0.01706   -0.0022902       1.5994     0.016148       1.5832    0.0012779   -0.0024916   2.2917e-05   -0.0025145      -8.1047      -5.6987            0       -11144         1375      -782.44      -51.623       -11123      -523.39       -74.36       -10737        776.4            0            0       39.699      -11.055           40      -7.0339       153.15        47617      -396.76      -2.6281   4.1585e-06     -0.84224      -1276.5  -6.1818e+05        55000       2.3092       1.2993            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -5            0      -0.4229     0.050283     0.037014     0.013269   -0.0024579       1.4952     0.014949       1.4803    0.0012037   -0.0025492   2.2985e-05   -0.0025722      -8.4105      -5.4694            0      -9532.5       1133.4      -532.86      -55.402      -9522.3      -314.77       -75.19      -9191.4       631.61            0            0        39.72      -11.519           40      -6.7806       148.11        44516      -401.75      -2.9058   4.2778e-06     -0.94135      -847.64  -6.4409e+05        45336       2.1723       1.2289            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -4            0     -0.35106     0.041411     0.031382     0.010029   -0.0026212        1.388     0.014008        1.374    0.0011305   -0.0026065   2.4405e-05   -0.0026309      -8.4774      -5.0229            0      -7913.1       933.43      -326.48      -59.084      -7909.6      -145.62      -76.048      -7635.1       513.38            0            0       39.725      -12.543           40      -6.7276       143.45        41324      -407.01      -3.2978   4.4588e-06      -1.0804      -420.65  -7.0136e+05        37337       1.9805       1.1577            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -3            0     -0.27891     0.034274     0.026922     0.007352   -0.0027802       1.2778     0.013235       1.2645    0.0010584   -0.0026666    2.416e-05   -0.0026908      -8.1379      -4.2978            0      -6286.9       772.55      -163.54      -62.667        -6287      -16.125      -76.933      -6070.1       419.86            0            0       39.701      -14.659           40      -7.0055       139.18        38042      -412.99      -3.8937   4.7606e-06      -1.2907      -114.08  -8.1968e+05        30902       1.7053        1.086            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -2            0     -0.20652     0.028739     0.023492    0.0052478   -0.0029344       1.1646     0.012561        1.152   0.00098715   -0.0027286   2.3228e-05   -0.0027519      -7.1861      -3.2657            0      -4655.2        647.8      -44.248      -66.144      -4656.5       73.542      -77.844      -4498.5       348.58            0            0       39.618      -19.292           40      -7.9223       135.29        34672      -419.53      -4.9097   5.3253e-06      -1.6476       448.28  -1.0787e+06        25912       1.3099        1.014            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -1            0     -0.13394     0.024621     0.020896    0.0037247   -0.0030838       1.0484      0.01184       1.0366   0.00091674   -0.0027916   2.2584e-05   -0.0028141        -5.44      -1.9909            0      -3019.1       554.98       31.254      -69.512      -3020.1       123.27      -78.781      -2922.1       296.72            0            0       39.341      -31.645           40      -10.416       131.79        31214      -426.47      -7.0311   6.6035e-06      -2.3903       881.24  -1.7695e+06        22199      0.77624      0.94173            0            0            0            0            0            0            0            0            0         5700            5            0  
