HRI Fuselage2
T1-10.0 m/s-TriUniform-Thick
Freestream speed = 10.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0           -4            0     -0.35106     0.045428     0.035399     0.010029   -0.0026212        1.395     0.020955        1.374    0.0011305   -0.0026029   2.8086e-05   -0.0026309      -7.7278      -4.5788            0      -494.57       63.998      -20.405      -3.6928      -494.35       -9.101       -4.753      -477.19       32.087            0            0       9.9173      -13.759           10      -7.3732       8.9659       2595.7      -25.403      -3.2978   4.4588e-06      -1.0804       -26.29  -7.6939e+05       639.98       1.9805       1.1577            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -3            0     -0.27891     0.037621     0.030269     0.007352   -0.0027802       1.2834     0.018831       1.2645    0.0010584   -0.0026712   1.9644e-05   -0.0026908      -7.4137      -3.9154            0      -392.93       53.001      -10.221      -3.9167      -392.94      -1.0078      -4.8083      -379.38       26.241            0            0       9.9103      -16.091           10       -7.682       8.6986         2388      -25.855      -3.8937   4.7606e-06      -1.2907      -7.1299  -8.9975e+05       530.01       1.7053        1.086            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -2            0     -0.20652     0.031373     0.026125    0.0052478   -0.0029344       1.1688     0.016797        1.152   0.00098715   -0.0027361   1.5716e-05   -0.0027519      -6.5828      -2.9916            0      -290.95       44.198      -2.7655       -4.134      -291.03       4.5964      -4.8653      -281.16       21.786            0            0       9.8866       -21.06           10      -8.6378       8.4556       2174.9      -26.292      -4.9097   5.3253e-06      -1.6476       28.018  -1.1776e+06       441.98       1.3099        1.014            0            0            0            0            0            0            0            0            0         5700            5            0  
          0           -1            0     -0.13394     0.026912     0.023188    0.0037247   -0.0030838        1.052     0.015393       1.0366   0.00091674   -0.0028041   1.0048e-05   -0.0028141      -4.9769      -1.8214            0      -188.69       37.914       1.9533      -4.3445      -188.75       7.7047      -4.9238      -182.63       18.545            0            0        9.804      -34.589           10      -11.361        8.237       1957.5      -26.773      -7.0311   6.6035e-06      -2.3903       55.077  -1.9341e+06       379.14      0.77624      0.94173            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            0            0    -0.061211     0.023876     0.021086    0.0027893   -0.0032282      0.93267     0.014257      0.91841   0.00084708   -0.0028789  -1.1808e-06   -0.0028777      -2.5637     -0.63429            0      -86.233       33.636       3.9295      -4.5479      -86.233       8.3133      -4.9838      -83.932       16.331            0            0       9.3164      -99.325           10      -21.308       8.0432       1735.5      -27.335      -14.204   1.1189e-05      -4.8962        82.12   -5.554e+06       336.36      0.21649      0.86947            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            1            0     0.011605     0.022361     0.019914    0.0024464   -0.0033674      0.81126     0.013679      0.79759   0.00077807   -0.0029384   4.1044e-06   -0.0029425        0.519     0.055911       9.2827       16.349       31.501       3.1606       -4.744       16.407       6.4216      -5.0452       14.825       14.961            0            0       4.6066       1126.8           10       62.571       7.8744       1509.6      -27.768       68.707  -4.3447e-05       24.037       109.11   6.3008e+07       315.01    0.0088726      0.79735            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            2            0     0.084457     0.022124     0.019425    0.0026989   -0.0035012       0.6877      0.01342      0.67428   0.00070961   -0.0030049   3.7211e-06   -0.0030086       3.8174       1.1094        3.441       118.98       31.169      -0.3525      -4.9325       119.04       2.0317       -5.108       113.52       14.265            0            0       9.6736        56.79           10       14.679       7.7308       1279.6       -28.28       8.5908  -4.0896e-06       3.0542       136.03   3.1755e+06       311.69      0.42594      0.72555            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            3            0      0.15729     0.022863     0.019315    0.0035481   -0.0036295      0.56183     0.013186      0.54864   0.00064161   -0.0030717   4.4066e-06   -0.0030761       6.8796       2.7285       2.5214       221.59       32.209      -6.6054      -5.1132       221.55      -4.8509      -5.1721       212.03        14.09            0            0        9.896        23.09           10       8.2704       7.6125       1045.4      -28.808       4.1593  -1.3441e-06       1.5051       162.83   1.2911e+06       322.09       1.1238      0.65422            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            4            0      0.23005      0.02454     0.019547    0.0049931   -0.0037521      0.43385     0.013022      0.42083   0.00057397   -0.0031401   4.8462e-06    -0.003145       9.3746       4.4964       2.0849        324.1       34.572      -15.591      -5.2859        323.8      -14.218      -5.2373       310.23       14.334            0            0       9.9436       14.011           10       6.0888       7.5198       807.29      -29.363       2.5365  -4.5705e-07      0.93619       189.48   7.8348e+05       345.72       1.7083      0.58353            0            0            0            0            0            0            0            0            0         5700            5            0  
          0            5            0      0.30269     0.027122      0.02009    0.0070316   -0.0038688      0.30389     0.012895      0.29099    0.0005066   -0.0032116   3.5185e-06   -0.0032151        11.16       6.1401       1.8176       426.43       38.209      -27.297      -5.4503       425.67      -26.058      -5.3036       408.02       14.983            0            0       9.9601       10.261           10       5.1202       7.4527       565.46       -29.96       1.6969  -9.7066e-08      0.64057       215.95   5.7374e+05       382.09          2.1      0.51364            0            0            0            0            0            0            0            0            0         5700            5            0  
