Vtip,M,Coll,CT,CP,Ideal CP,FM,CT/CP,RPM
789.9,0.692,-6.71,-0.001974,0.00063,0.000062,0.0985,-3.14,2654.424413
789.2,0.692,-6.71,-0.001982,0.000631,0.000062,0.0989,-3.14,2652.072093
790,0.693,-5.96,-0.000995,0.000524,0.000022,0.0423,-1.9,2654.760458
790.6,0.693,-5.29,-0.000493,0.000473,0.000008,0.0164,-1.04,2656.776732
790.6,0.693,-4.45,0.000001,0.000419,0,0,0,2656.776732
790.3,0.693,-4.05,0.000523,0.000379,0.000008,0.0223,1.38,2655.768595
790.3,0.693,-3.44,0.001069,0.000356,0.000025,0.0694,3,2655.768595
790.6,0.693,-2.88,0.001446,0.000337,0.000039,0.1155,4.29,2656.776732
790.6,0.693,-2.46,0.001486,0.000313,0.00004,0.1295,4.75,2656.776732
789.9,0.693,-2.07,0.00165,0.000312,0.000047,0.1522,5.3,2654.424413
790.6,0.693,-1.58,0.001994,0.000314,0.000063,0.2007,6.36,2656.776732
789.9,0.693,-1.03,0.00214,0.000316,0.00007,0.2212,6.76,2654.424413
789.2,0.692,-0.5,0.002705,0.000332,0.000099,0.2999,8.15,2652.072093
790.3,0.692,-0.02,0.002976,0.000341,0.000115,0.3369,8.73,2655.768595
788.9,0.691,1.04,0.00361,0.000371,0.000153,0.413,9.72,2651.063956
790.3,0.692,2,0.004235,0.000408,0.000195,0.4776,10.38,2655.768595
790.3,0.692,2.93,0.004899,0.000454,0.000242,0.5344,10.8,2655.768595
789.6,0.692,4.01,0.005805,0.000522,0.000313,0.5988,11.11,2653.416276
789.6,0.692,4.97,0.006615,0.000591,0.00038,0.6434,11.19,2653.416276
788.9,0.691,6.01,0.007264,0.000652,0.000438,0.671,11.13,2651.063956
789.9,0.692,6.95,0.008418,0.000763,0.000546,0.7155,11.03,2654.424413
789.2,0.692,8.01,0.009401,0.000874,0.000645,0.7378,10.76,2652.072093
789.2,0.692,9,0.010488,0.001004,0.000759,0.7568,10.45,2652.072093
789.2,0.69,9.98,0.011105,0.001087,0.000828,0.7613,10.22,2652.072093
788.2,0.689,11.05,0.01263,0.001292,0.001004,0.7767,9.77,2648.711637
