Vtip,Mtip,Coll,CT,CQ,Ideal CP,FM,CT/CP
749.0000,813,0.725,0,0.006102,0.000815,0.00197,0.4136
815.0000,0.725,2.2,0.008306,0.000988,0.003128,0.542,8.41
820.0000,0.725,8,0.016006,0.001983,0.008368,0.7221,8.07
815.0000,0.725,8,0.015352,0.001858,0.007861,0.7242,8.27
822.0000,0.725,10,0.019482,0.002578,0.011237,0.746,7.56
817.0000,0.725,10,0.018726,0.002431,0.010589,0.7455,7.7
824.0000,0.725,10.4,0.019169,0.002524,0.010967,0.7437,7.6
824.0000,0.725,10.4,0.019052,0.002517,0.010867,0.7388,7.57
821.0000,0.725,10.4,0.01954,0.002572,0.011287,0.7512,7.6
825.0000,0.725,10.5,0.019124,0.002531,0.010928,0.7389,7.55
826.0000,0.725,10.5,0.019177,0.002481,0.010973,0.757,7.73
828.0000,0.725,10.5,0.019431,0.002503,0.011193,0.7654,7.76
824.0000,0.725,10.5,0.019285,0.002545,0.011067,0.7441,7.58
817.0000,0.725,12,0.021747,0.003005,0.013252,0.7547,7.24
815.0000,0.725,13,0.024968,0.003831,0.016303,0.7284,6.52
814.0000,0.725,13.5,0.025599,0.003937,0.016924,0.7358,6.5
822.0000,0.725,14,0.026352,0.003988,0.017676,0.7587,6.61
818.0000,0.725,16,0.028826,0.004808,0.020223,0.7198,6
806.0000,0.725,18,0.033364,0.006692,0.025182,0.644,4.99
842.0000,0.75,-2,0.003886,0.000761,0.001001,0.2252,5.11
841.0000,0.75,0,0.006096,0.000822,0.001967,0.4094,7.41
843.0000,0.75,2.2,0.008273,0.00099,0.00311,0.5377,8.36
848.0000,0.75,8,0.016155,0.002002,0.008485,0.7252,8.07
843.0000,0.75,8,0.015418,0.001861,0.007911,0.7276,8.29
851.0000,0.75,10,0.01953,0.002591,0.011278,0.745,7.54
845.0000,0.75,10,0.018738,0.00243,0.010599,0.7465,7.71
852.0000,0.75,10.4,0.019153,0.002527,0.010953,0.7419,7.58
852.0000,0.75,10.4,0.019208,0.002546,0.011,0.7393,7.54
849.0000,0.75,10.4,0.019672,0.002596,0.011401,0.7516,7.58
853.0000,0.75,10.5,0.019204,0.002547,0.010997,0.7388,7.54
