fuel_weight_kg,wing_loading_kg_m2,range_km,mtom_kg
1.021534825671104301e+02,1.442401523786063251e+02,4.203567269843426288e+02,4.327078046607263786e+03
6.050846481756803286e+01,1.017080393810132932e+02,2.046110197465213787e+02,4.714325207739402686e+03
1.431555795014625403e+02,1.077068063852960051e+02,5.466414039403975949e+02,4.390432776159767855e+03
8.398205047108635313e+01,2.056181815735135672e+02,3.644320303523869029e+02,4.036207757825870431e+03
1.153098533284644702e+02,1.396674993744994140e+02,4.760796135307619465e+02,4.312317352507967371e+03
6.649200556118431393e+01,1.311359806789014044e+02,2.511405667144993288e+02,4.581338330764117018e+03
1.384382773654809284e+02,2.134001200010349066e+02,5.974767020944950673e+02,4.105878431518420257e+03
6.151941913307405230e+01,2.654057501238490886e+02,2.539004621560102919e+02,3.884877153526801521e+03
5.277095821029729450e+01,2.527747270950299026e+02,2.076705332578503942e+02,4.140292956951073393e+03
7.435824081831859189e+01,1.022628272503355333e+02,2.442466740208316196e+02,4.889641403349178290e+03
7.795745140258266304e+01,1.449172777491735644e+02,2.957439627358760390e+02,4.660589462198309775e+03
1.452539853161883912e+02,1.008700305366743635e+02,5.485845025317455566e+02,4.332742676813971229e+03
1.065543970262727385e+02,1.717756496441665490e+02,4.580840245764002816e+02,4.189445011354922826e+03
1.340285541586453633e+02,1.069987548640770569e+02,4.394068437949435975e+02,5.081866876888188017e+03
6.017684512773740124e+01,1.757739677156876894e+02,2.417832438619196580e+02,4.406565307128821587e+03
5.114546686063251002e+01,1.413487551396699473e+02,1.920718962656827102e+02,4.651099175168021247e+03
6.361571407420195357e+01,1.436805342725587025e+02,2.654095177757330362e+02,4.208601674667052976e+03
1.039888770818940174e+02,1.641844592526163638e+02,4.558325414619010871e+02,4.108055117207379226e+03
1.195314516708435377e+02,1.343648508283411616e+02,4.844077701077593474e+02,4.368590889893069289e+03
1.452784817709018625e+02,1.267549749088542796e+02,5.586061700621722821e+02,4.582639278701946751e+03
5.803611171245233180e+01,1.336045064218588436e+02,2.143570483996102496e+02,4.693190340414099410e+03
5.504489565607111246e+01,1.649147144515403056e+02,2.235509573874807074e+02,4.356230501767454371e+03
7.373461298279042353e+01,1.196172003946219888e+02,2.901484662159592745e+02,4.304329774363915931e+03
1.395936482983779854e+02,1.163416413238200136e+02,5.489239763559792209e+02,4.371203365754384322e+03
9.376840448422372276e+01,1.088298129050623686e+02,3.483986909678761208e+02,4.450590065892834900e+03
7.160600756996521454e+01,2.031027635199330348e+02,3.149241149301136034e+02,3.974673288378758116e+03
1.480375312164799482e+02,1.377708397768116129e+02,6.292600991107665322e+02,4.230835137364858383e+03
1.487217228183259294e+02,1.355600247384681722e+02,5.833800214449624946e+02,4.563315639590772662e+03
1.186696188576544557e+02,1.432535990290476491e+02,4.988646764773326368e+02,4.257664458162317715e+03
1.235688925392625350e+02,1.309152902517604957e+02,5.169700159094106766e+02,4.218646985697336277e+03
1.116081206322289319e+02,2.414207842757840581e+02,4.769791895105674371e+02,3.965117702572298640e+03
1.494317111638885933e+02,1.137873180350563302e+02,5.739760854360415578e+02,4.456508850494634316e+03
1.198434854609701432e+02,1.977739677792738178e+02,5.022288684507965968e+02,4.259495581689934625e+03
5.150463455070350705e+01,2.458527262697322158e+02,2.042422867544794371e+02,4.149894169559473085e+03
8.854523248519525680e+01,1.370143483881252848e+02,3.636716750027178477e+02,4.280479012117240927e+03
6.129451773663464564e+01,1.797394753902708260e+02,2.426128435232424181e+02,4.469973138496593492e+03
1.214731731034852089e+02,2.449131492944315198e+02,5.221618228007188236e+02,3.938199245874298867e+03
5.939256448423405743e+01,1.001726628760983004e+02,2.019846495153433921e+02,4.655302388832670658e+03
1.118338690029025742e+02,1.090585084232072433e+02,3.785567967382221468e+02,4.920660637541833239e+03
